secs,cad,hr,km,kph,nm,watts,alt,lon,lat,headwind,slope,temp,interval,lrbalance,lte,rte,lps,rps,smo2,thb,o2hb,hhb
1903,96,121,12.694,26.5176,0,221,14.8,-5.44621141,36.21681791,0,4.09998,-255,0,-255,0,0,0,0,0,0,0,0
1904,99,121,12.7009,24.6024,0,200,15.2,-5.44628785,36.21681866,0,4.68221,-255,0,-255,0,0,0,0,0,0,0,0
1905,84,122,12.7079,24.696,0,220,15.6,-5.44636572,36.21682512,0,5.04065,-255,0,-255,0,0,0,0,0,0,0,0
1906,81,122,12.7147,24.0048,0,227,16,-5.44644090,36.21683367,0,5.41369,-255,0,-255,0,0,0,0,0,0,0,0
1907,80,122,12.7212,22.914,0,222,16.2,-5.44651223,36.21684255,0,5.72139,-255,0,-255,0,0,0,0,0,0,0,0
1908,76,122,12.7276,22.4496,0,210,16.4,-5.44658071,36.21685722,0,5.58794,-255,0,-255,0,0,0,0,0,0,0,0
1909,73,122,12.7336,21.4848,0,192,16.8,-5.44664182,36.21687952,0,6.0243,-255,0,-255,0,0,0,0,0,0,0,0
1910,61,122,12.7393,20.4876,0,138,17.2,-5.44669647,36.21690600,0,6.25619,-255,0,-255,0,0,0,0,0,0,0,0
1911,54,121,12.7449,19.9044,0,151,17.4,-5.44674366,36.21693878,0,5.88561,-255,0,-255,0,0,0,0,0,0,0,0
1912,47,121,12.7517,23.8212,0,382,17.6,-5.44679747,36.21698177,0,4.91554,-255,0,-255,0,0,0,0,0,0,0,0
1913,58,122,12.7589,25.4772,0,766,17.8,-5.44684684,36.21703332,0,4.65156,-255,0,-255,0,0,0,0,0,0,0,0
1914,58,124,12.7668,27.7776,0,881,18,-5.44689906,36.21708990,0,4.32444,-255,0,-255,0,0,0,0,0,0,0,0
1915,67,126,12.7749,28.5768,0,881,18.2,-5.44694801,36.21715084,0,4.00329,-255,0,-255,0,0,0,0,0,0,0,0
1916,75,127,12.7839,31.788,0,962,18.2,-5.44700467,36.21721756,0,3.41681,-255,0,-255,0,0,0,0,0,0,0,0
1917,79,128,12.793,32.58,0,951,18.4,-5.44705429,36.21728931,0,3.32817,-255,0,-255,0,0,0,0,0,0,0,0
1918,82,129,12.8021,32.6556,0,897,18.2,-5.44708623,36.21736734,0,2.79413,-255,0,-255,0,0,0,0,0,0,0,0
1919,83,132,12.8116,33.948,0,848,18.4,-5.44710701,36.21745166,0,2.33937,-255,0,-255,0,0,0,0,0,0,0,0
